pow,pos,poa,algorand,ouroboros,avalanche,fnp2,con_two,con_many,majority
0.0,0.06,0.0,0.0,0.0,0.0,0.46,0.96,0.98,0.44
0.04,0.02,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.46
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.92,1.0,0.48
0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.9,0.96,0.5
0.3,0.04,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.46
0.02,0.04,0.0,0.0,0.0,0.0,0.62,0.98,1.0,0.54
0.08,0.38,0.04,0.0,0.0,0.0,0.46,1.0,1.0,0.5
0.04,0.22,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.48
0.0,0.42,0.0,0.0,0.0,0.0,0.44,0.86,0.96,0.5
0.0,0.04,0.0,0.0,0.0,0.0,0.56,0.96,1.0,0.58
0.68,0.02,0.0,0.0,0.0,0.0,0.58,0.96,0.96,0.54
0.0,0.16,0.0,0.0,0.0,0.0,0.58,0.88,1.0,0.42
0.22,0.12,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.54
0.0,0.16,0.0,0.0,0.0,0.0,0.4,0.94,1.0,0.42
0.52,0.0,0.0,0.0,0.0,0.0,0.5,0.96,1.0,0.4
0.0,0.02,0.0,0.0,0.0,0.0,0.48,1.0,1.0,0.4
0.04,0.04,0.0,0.0,0.0,0.0,0.44,0.92,0.96,0.6
0.2,0.44,0.0,0.0,0.0,0.0,0.48,0.98,0.96,0.52
0.08,0.0,0.0,0.0,0.0,0.0,0.54,0.88,0.96,0.56
0.02,0.6,0.04,0.06,0.02,0.0,0.58,0.96,1.0,0.42
0.26,0.34,0.0,0.0,0.0,0.0,0.6,0.98,1.0,0.6
0.36,0.14,0.0,0.0,0.0,0.0,0.46,0.98,0.96,0.48
0.0,0.32,0.0,0.0,0.0,0.0,0.56,0.94,1.0,0.62
0.08,0.0,0.0,0.0,0.0,0.0,0.42,0.94,0.98,0.48
0.12,0.04,0.0,0.0,0.0,0.0,0.44,0.98,1.0,0.44
0.24,0.06,0.0,0.0,0.0,0.0,0.46,0.88,1.0,0.4
0.14,0.06,0.0,0.0,0.0,0.0,0.5,0.96,0.98,0.38
0.24,0.14,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.48
0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.94,1.0,0.4
0.84,0.08,0.0,0.0,0.0,0.0,0.64,0.96,0.98,0.44
0.0,0.32,0.0,0.0,0.0,0.0,0.5,0.98,0.98,0.52
0.34,0.04,0.0,0.0,0.0,0.0,0.46,0.86,0.98,0.46
0.02,0.2,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.48
0.24,0.08,0.0,0.0,0.0,0.0,0.42,0.92,1.0,0.56
0.24,0.04,0.0,0.0,0.0,0.0,0.4,0.94,0.98,0.36
0.54,0.02,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.5
0.0,0.06,0.0,0.0,0.0,0.0,0.56,0.94,1.0,0.52
0.02,0.48,0.04,0.0,0.0,0.0,0.58,0.98,1.0,0.6
0.68,0.48,0.1,0.0,0.06,0.0,0.58,0.94,1.0,0.5
0.02,0.26,0.0,0.0,0.0,0.0,0.5,0.92,1.0,0.4
0.0,0.08,0.0,0.0,0.0,0.0,0.56,0.92,1.0,0.4
0.12,0.14,0.0,0.0,0.0,0.0,0.6,0.96,0.98,0.5
0.14,0.06,0.0,0.0,0.0,0.0,0.4,0.9,1.0,0.54
0.46,0.18,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.42
0.0,0.02,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.52
0.0,0.0,0.0,0.0,0.0,0.0,0.56,1.0,1.0,0.58
0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.94,1.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.92,1.0,0.56
0.18,0.0,0.0,0.0,0.0,0.0,0.6,0.98,1.0,0.48
0.04,0.0,0.0,0.0,0.0,0.0,0.5,0.96,1.0,0.46
0.18,0.02,0.0,0.0,0.0,0.0,0.48,0.92,1.0,0.46
0.26,0.14,0.0,0.0,0.0,0.0,0.5,0.98,1.0,0.52
0.02,0.16,0.0,0.0,0.0,0.0,0.46,0.94,1.0,0.54
0.0,0.08,0.0,0.0,0.0,0.0,0.52,0.98,1.0,0.44
0.02,0.4,0.0,0.0,0.02,0.0,0.52,0.96,1.0,0.54
0.02,0.0,0.0,0.0,0.0,0.0,0.56,0.94,1.0,0.54
0.22,0.0,0.0,0.0,0.0,0.0,0.66,0.96,0.98,0.52
0.0,0.02,0.0,0.0,0.0,0.0,0.54,0.94,1.0,0.6
0.2,0.84,0.22,0.02,0.06,0.0,0.62,0.96,0.96,0.44
0.12,0.0,0.0,0.0,0.0,0.0,0.48,0.96,1.0,0.6
0.12,0.22,0.0,0.0,0.0,0.0,0.44,0.96,1.0,0.5
0.08,0.0,0.0,0.0,0.0,0.0,0.5,0.96,1.0,0.46
0.16,0.04,0.0,0.0,0.0,0.0,0.52,0.94,1.0,0.56
0.06,0.0,0.0,0.0,0.0,0.0,0.44,0.9,0.98,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.94,1.0,0.48
0.04,0.26,0.0,0.0,0.0,0.0,0.54,0.98,0.98,0.6
