pow,pos,poa,algorand,conn_two,conn_many
0.02,0.04,0.0,0.0,0.36,0.08
0.0,0.0,0.0,0.0,0.2,0.04
0.02,0.0,0.0,0.0,0.18,0.18
0.0,0.0,0.0,0.0,0.24,0.16
0.0,0.1,0.0,0.0,0.28,0.12
0.04,0.02,0.0,0.0,0.14,0.1
0.0,0.0,0.0,0.0,0.34,0.18
0.0,0.22,0.0,0.0,0.26,0.08
0.0,0.14,0.0,0.0,0.26,0.1
0.02,0.0,0.0,0.0,0.2,0.04
0.0,0.0,0.0,0.0,0.14,0.1
0.0,0.04,0.0,0.0,0.28,0.08
0.0,0.0,0.0,0.0,0.28,0.18
0.0,0.0,0.0,0.0,0.14,0.08
0.0,0.0,0.0,0.0,0.32,0.04
0.02,0.02,0.0,0.0,0.16,0.14
0.0,0.0,0.0,0.0,0.2,0.1
0.0,0.04,0.0,0.0,0.16,0.04
0.0,0.02,0.0,0.0,0.18,0.1
0.0,0.0,0.0,0.0,0.16,0.14
0.0,0.0,0.0,0.0,0.22,0.16
0.02,0.0,0.0,0.0,0.34,0.12
0.0,0.04,0.0,0.0,0.16,0.04
0.04,0.02,0.0,0.0,0.2,0.1
0.02,0.0,0.0,0.0,0.36,0.12
0.02,0.0,0.0,0.0,0.26,0.1
0.0,0.0,0.0,0.0,0.28,0.1
0.0,0.02,0.0,0.0,0.28,0.14
0.0,0.0,0.0,0.0,0.2,0.06
0.0,0.06,0.0,0.0,0.16,0.06
0.0,0.04,0.0,0.0,0.26,0.16
0.2,0.0,0.0,0.0,0.26,0.12
0.12,0.0,0.0,0.0,0.14,0.1
0.04,0.02,0.0,0.0,0.22,0.14
0.0,0.04,0.0,0.0,0.16,0.16
0.0,0.04,0.0,0.0,0.14,0.04
0.0,0.0,0.0,0.0,0.22,0.14
0.04,0.02,0.0,0.0,0.2,0.1
0.0,0.0,0.0,0.0,0.08,0.1
0.0,0.0,0.0,0.0,0.3,0.1
0.0,0.0,0.0,0.0,0.28,0.12
0.0,0.0,0.0,0.0,0.22,0.24
0.0,0.0,0.0,0.0,0.4,0.16
